index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
84710,403-2781946-0273144,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518.0,BENGALURU,KARNATAKA,560075.0,IN,False,Easy Ship
84711,408-4793070-9608313,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,5XL,Shipped,1,INR,909.0,Mumbai,MAHARASHTRA,400053.0,IN,False,Not Specified
84712,404-3647003-3409121,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,5XL,Shipped,1,INR,458.0,GHAZIABAD,UTTAR PRADESH,201010.0,IN,False,Not Specified
84713,408-3125182-8376311,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,376.0,PIMPRI CHINCHWAD,MAHARASHTRA,411017.0,IN,False,Not Specified
84714,405-0183114-7713142,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,376.0,HYDERABAD,TELANGANA,500018.0,IN,False,Not Specified
84715,403-9865297-3702703,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,5XL,Shipped,1,INR,534.0,NEW DELHI,DELHI,110054.0,IN,False,Not Specified
84716,402-9097424-3690767,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,761.0,Noida,UTTAR PRADESH,201301.0,IN,True,Not Specified
84717,404-8274274-3181957,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,1066.0,BIDHAN NAGAR,WEST BENGAL,700091.0,IN,False,Not Specified
84718,403-9980002-7628368,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,835.0,NOIDA,UTTAR PRADESH,201301.0,IN,False,Not Specified
84719,403-9980002-7628368,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,824.0,NOIDA,UTTAR PRADESH,201301.0,IN,False,Not Specified
84720,171-5511639-8011551,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,518.0,MALAPPURAM,KERALA,676519.0,IN,False,Not Specified
84721,404-8881012-9210710,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,759.0,JHANSI,UTTAR PRADESH,284001.0,IN,True,Not Specified
84722,171-5716108-9731561,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,852.0,VITTAL,KARNATAKA,574243.0,IN,False,Not Specified
84723,408-8255159-9600330,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Trousers,XXL,Shipped,1,INR,545.0,RATLAM,MADHYA PRADESH,457001.0,IN,False,Not Specified
84724,402-2519782-8682726,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,533.0,BHUBANESWAR,ODISHA,751019.0,IN,False,Not Specified
84725,404-7108747-4039531,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,471.0,DEHRADUN,UTTARAKHAND,248001.0,IN,False,Not Specified
84726,403-6520971-0193932,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1463.0,DUNGARPUR,RAJASTHAN,314001.0,IN,False,Not Specified
84727,171-2826251-1377960,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,759.0,PIMPRI CHINCHWAD,MAHARASHTRA,411026.0,IN,False,Not Specified
84728,171-9062829-9436339,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,521.0,THIRUVANANTHAPURAM,KERALA,695014.0,IN,False,Not Specified
84729,406-1136138-7692366,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,399.0,NADIA,WEST BENGAL,741235.0,IN,False,Not Specified
84730,402-2352865-0340365,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1093.0,HYDERABAD,TELANGANA,500090.0,IN,False,Not Specified
